ANTHRO 1709,"The Anthropology of Power: Sovereignty, Hegemony, and Resistance 001",Fierman,Anthropology,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=482bb20e0635d3a77e4dae54720b298f52fd49577edacf6636d262b98f0721ff18225bd5921a63facf71b3af23dd201b&ReportType=2&regl=en-US,16.0,13.0,81.0,4.5,4.6,4.5,4.2,5.0,4.6,4.4,4.7,5.0,4.0,4.22,4.7,6.6,4.3,0.35829344391822815
ANTHRO 1813,Science from the Arctic: Histories and Futures 001,Herranen-Tabibi,Anthropology,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=824209dc60437faa75cd2f623cad097d6e0e92aec73020f70e6de97a0862149014be6489a51fbe67bea3cb3993d34d99&ReportType=2&regl=en-US,12.0,11.0,91.0,4.22,4.67,4.11,4.67,5.0,4.67,4.88,5.0,4.89,4.63,4.75,5.0,7.33,4.22,0.992995003859202
ANTHRO 1826,Medical Anthropology: Advanced Topics 001,Kleinman,Anthropology,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=9bae3888cb02228a66e90f6e12bc169e0b4b4799962bcfb17fa42384a6204a618463e58bbaefdd2758ac13462886c16f&ReportType=2&regl=en-US,19.0,19.0,100.0,4.56,4.67,4.33,3.78,4.07,4.75,4.63,4.5,4.81,4.69,4.45,4.7,8.94,4.47,0.9960794051488241
ANTHRO 1883,Where Science Meets Society: Introduction to STS 001,Jabloner,Anthropology,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=fea994330a78c0b27e17acae2ecff19290b8d0c81f1117056f532fe2692860fd44ff8c08bc8dc06577ff9e828a3f50df&ReportType=2&regl=en-US,20.0,15.0,75.0,4.73,4.8,4.64,4.38,4.75,4.87,4.73,4.73,4.93,4.86,4.69,4.86,4.6,4.67,0.8092182549563322
ANTHRO 1898,Digital Ethnographic Methods 001,Garza,Anthropology,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ed9d5b05f3a1f29667d37328ef992ac1ce65b7c40ed25a2a68684792689411e415de6d23019dff7d201888e32618de53&ReportType=2&regl=en-US,7.0,5.0,71.0,4.6,4.6,5.0,4.6,5.0,4.75,5.0,4.5,5.0,5.0,4.75,4.5,7.0,4.6,0.9975435137748718
ANTHRO 1900,Counseling as Colonization? Native American Encounters with the Clinical Psy-ences 001,Gone,Anthropology,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8055f18513e504da70deac684e1b0bdddbe19cc288a719ddd2ac48e5269bd7d88d79575d34339e63d48aac09df49337b&ReportType=2&regl=en-US,19.0,14.0,73.0,4.54,4.62,4.38,4.31,4.5,4.62,4.62,4.77,4.77,4.38,4.46,4.83,4.92,4.46,0.5958492755889893
ANTHRO 2061,Archaeological Science 001,Richter,Anthropology,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b281b7fac04026540418b645270abb2d8a09d83f0ec8809461f682bbd6c97886266a734b803cb4d20f035e12e40180c5&ReportType=2&regl=en-US,12.0,8.0,66.0,4.88,4.75,4.88,4.88,5.0,5.0,5.0,5.0,5.0,5.0,4.83,4.83,7.38,4.88,0.522713303565979
ANTHRO 2061,Archaeological Science 001,Warinner,Anthropology,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a920a20302a7c419564d9c25b014224bb5fd986ae6d58fe0abc111a3477e9040419bc2ed3d6a60ee20667ac336295977&ReportType=2&regl=en-US,12.0,8.0,66.0,4.88,4.75,4.88,4.88,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.38,4.88,0.522713303565979
ANTHRO 2690,"Middle East Ethnography: Discourse, Politics, and Culture 001",Caton,Anthropology,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=baccb168f64d57c2381b896b83187b4b80f02355b9156a0cea4b535357d6f8c05bbcab0a815ab51301f75f4749b4834f&ReportType=2&regl=en-US,10.0,8.0,80.0,4.88,5.0,4.86,4.83,5.0,5.0,5.0,4.86,5.0,5.0,5.0,4.86,8.5,5.0,0.996524433294932
ANTHRO 2738,Remaking Life and Death 001,Bernstein,Anthropology,2023 Spring,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a33b08cb5a6cfabd9c4bab58dda353faa6db2ef85721a21b5740d8466132c9ed4b4ac81853dc7eb36a266eeedad1e053&ReportType=2&regl=en-US,10.0,6.0,60.0,4.67,4.83,4.0,3.0,5.0,4.67,4.5,3.83,4.67,4.33,3.5,4.0,8.4,4.67,0.9405200034379959
